symbol,rank,company_name_vi,company_name_en,exchange,ref_price,ceiling,floor,source,verified,updated_date
EVF,25,CÔNG TY TÀI CHÍNH TỔNG HỢP CỔ PHẦN ĐIỆN LỰC,EVF GENERAL FINANCE JOINT STOCK COMPANY,hose,13650,14600,12700,ssi_api_official,True,2025-09-27
FPT,26,Công ty Cổ phần FPT,FPT Corporation,hose,98000,104800,91200,ssi_api_official,True,2025-09-27
FRT,27,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,FPT Digital Retail Joint Stock Company,hose,131200,140300,122100,ssi_api_official,True,2025-09-27
FTS,28,Công ty Cổ phần Chứng khoán FPT,FPT Securities Joint Stock Company,hose,36700,39250,34150,ssi_api_official,True,2025-09-27
GAS,29,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PetroVietnam Gas Joint Stock Corporation,hose,61900,66200,57600,ssi_api_official,True,2025-09-27
GEE,30,Công ty Cổ phần Điện lực Gelex,Gelex Electricity Joint Stock Company,hose,110200,117900,102500,ssi_api_official,True,2025-09-27
GEX,31,Công ty Cổ phần Tập đoàn GELEX,GELEX Group Joint Stock Company,hose,53500,57200,49800,ssi_api_official,True,2025-09-27
GMD,32,Công ty Cổ phần GEMADEPT,Gemadept Corporation,hose,71800,76800,66800,ssi_api_official,True,2025-09-27
GVR,33,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Viet Nam Rubber Group - Joint Stock Company,hose,28800,30800,26800,ssi_api_official,True,2025-09-27
HAG,34,Công ty Cổ phần Hoàng Anh Gia Lai,Hoang Anh Gia Lai Joint Stock Company,hose,15750,16850,14650,ssi_api_official,True,2025-09-27
HCM,35,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Ho Chi Minh City Securities Corporation,hose,26750,28600,24900,ssi_api_official,True,2025-09-27
HDB,36,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,hose,31000,33150,28850,ssi_api_official,True,2025-09-27
HDC,37,Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu,Ba Ria – Vung Tau House Development Joint Stock Company,hose,36700,39250,34150,ssi_api_official,True,2025-09-27
