time,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_net_vol,foreign_net_val
2025-02-25,18.1,18.38,17.92,18.01,5622403,240800.0,1044600.0,4716070000.0,20353795000.0,-803800.0,-15637725000.0
2025-02-26,18.01,18.1,17.73,17.78,5935823,547500.0,807970.0,10582015000.0,15615482900.0,-260470.0,-5033467900.0
2025-02-27,17.78,18.43,17.73,18.33,10165322,698600.0,562300.0,13578770000.0,10880395000.0,136300.0,2698375000.0
2025-02-28,18.38,18.8,18.19,18.43,12342637,27300.0,1024300.0,546025000.0,20415585000.0,-997000.0,-19869560000.0
2025-03-03,18.52,18.8,18.43,18.61,7936023,35000.0,533200.0,701665000.0,10711220000.0,-498200.0,-10009555000.0
2025-03-04,18.61,18.98,18.38,18.61,11993257,226200.0,1444118.0,4570690000.0,29165684500.0,-1217918.0,-24594994500.0
2025-03-05,18.7,18.7,18.1,18.1,7883540,6400.0,140400.0,127575000.0,2801460000.0,-134000.0,-2673885000.0
2025-03-06,18.15,18.52,18.1,18.52,6936118,165600.0,437700.0,3270150000.0,8598555000.0,-272100.0,-5328405000.0
2025-03-07,18.66,19.26,18.61,18.8,13639131,1670500.0,225272.0,34264855000.0,4621266000.0,1445228.0,29643589000.0
2025-03-10,18.89,19.17,18.7,18.89,8642558,1104800.0,183855.0,22641009150.0,3747422000.0,920945.0,18893587150.0
2025-03-11,18.61,19.07,18.47,19.07,8570093,116000.0,96500.0,2382880000.0,1952640000.0,19500.0,430240000.0
2025-03-12,18.93,19.03,18.56,18.98,11561901,858200.0,832934.0,17470350000.0,16896288100.0,25266.0,574061900.0
2025-03-13,18.93,19.07,18.33,18.33,9164494,9900.0,954787.0,199735000.0,19413394400.0,-944887.0,-19213659400.0
2025-03-14,18.43,18.98,18.19,18.7,10646857,764200.0,184700.0,15477020000.0,3731530000.0,579500.0,11745490000.0
2025-03-17,18.93,19.44,18.66,19.26,14468726,942791.0,137295.0,19422591950.0,2815565500.0,805496.0,16607026450.0
2025-03-18,19.35,19.4,18.89,18.98,7505033,1622700.0,207100.0,33377255000.0,4258090000.0,1415600.0,29119165000.0
2025-03-19,18.98,19.03,18.8,19.03,8008469,1712800.0,317471.0,35027620000.0,6480934050.0,1395329.0,28546685950.0
2025-03-20,19.07,19.07,18.56,18.7,5773860,9100.0,946600.0,184630000.0,19236480050.0,-937500.0,-19051850050.0
2025-03-21,18.66,18.93,18.66,18.8,4485675,1826300.0,869196.0,37183240000.0,17660507650.0,957104.0,19522732350.0
2025-03-24,18.29,18.61,17.64,18.52,25346741,2282505.0,954548.0,44977997350.0,18636610100.0,1327957.0,26341387250.0
2025-03-25,18.52,18.66,18.24,18.61,6139984,1603800.0,650500.0,31958310000.0,12953615000.0,953300.0,19004695000.0
2025-03-26,18.47,18.66,18.1,18.33,8076034,1706000.0,1421892.0,33743980000.0,28060398250.0,284108.0,5683581750.0
2025-03-27,18.24,18.29,17.96,18.15,4413652,34700.0,209897.0,674000000.0,4112466550.0,-175197.0,-3438466550.0
2025-03-28,18.24,18.24,17.82,17.87,4684306,147800.0,57172.0,2854690000.0,1105682700.0,90628.0,1749007300.0
2025-03-31,17.68,18.19,17.68,17.92,5631540,402400.0,595000.0,7796185000.0,11550007900.0,-192600.0,-3753822900.0
2025-04-01,17.96,18.15,17.82,18.01,2510694,100900.0,103200.0,1962470000.0,1998350000.0,-2300.0,-35880000.0
2025-04-02,18.15,18.19,17.92,18.06,3294052,115600.0,87400.0,2253950000.0,1706810000.0,28200.0,547140000.0
2025-04-03,17.13,17.55,16.81,16.81,7868421,26500.0,785799.0,492140000.0,14359255800.0,-759299.0,-13867115800.0
2025-04-04,15.65,16.06,15.65,16.06,14505235,1562200.0,170700.0,27064630000.0,2911870000.0,1391500.0,24152760000.0
2025-04-08,14.95,15.46,14.95,14.95,2245595,140600.0,200.0,2275035000.0,3285000.0,140400.0,2271750000.0
2025-04-09,13.93,14.26,13.93,13.93,7904367,164600.0,253900.0,2485050000.0,3826395000.0,-89300.0,-1341345000.0
2025-04-10,14.91,14.91,14.91,14.91,4395363,50000.0,12800.0,805000000.0,206080000.0,37200.0,598920000.0
2025-04-11,14.07,15.74,13.93,15.74,20961779,1122500.0,567372.0,17904680000.0,8849315850.0,555128.0,9055364150.0
2025-04-14,15.69,15.88,15.23,15.88,8033014,168300.0,785900.0,2863145000.0,13163865000.0,-617600.0,-10300720000.0
2025-04-15,15.46,15.79,15.0,15.28,9226638,107400.0,1007300.0,1771405000.0,16687800000.0,-899900.0,-14916395000.0
2025-04-16,15.23,15.32,14.91,15.28,7218168,33025.0,1595406.0,536110000.0,26015271600.0,-1562381.0,-25479161600.0
2025-04-17,14.91,15.32,14.77,15.32,8562383,1000000.0,1870600.0,16245855000.0,30156745000.0,-870600.0,-13910890000.0
2025-04-18,15.32,15.56,15.05,15.18,6099231,202220.0,844136.0,3349822000.0,13798013600.0,-641916.0,-10448191600.0
2025-04-21,15.09,15.28,14.86,15.18,6085226,27600.0,281000.0,452540000.0,4545465000.0,-253400.0,-4092925000.0
2025-04-22,14.81,15.0,14.17,14.17,12622150,199200.0,1417100.0,3054765000.0,22325975000.0,-1217900.0,-19271210000.0
2025-04-23,14.58,14.72,13.93,14.44,10474154,355200.0,712400.0,5520915000.0,10897970000.0,-357200.0,-5377055000.0
2025-04-24,14.49,14.72,14.26,14.72,7479286,673200.0,377100.0,10587905000.0,5877650000.0,296100.0,4710255000.0
2025-04-25,14.72,14.81,14.4,14.54,4435662,19300.0,487000.0,304145000.0,7643315000.0,-467700.0,-7339170000.0
2025-04-28,14.44,14.54,14.21,14.54,5300580,828600.0,638400.0,12904110000.0,9869700000.0,190200.0,3034410000.0
2025-04-29,14.4,14.49,14.17,14.26,5955491,471800.0,537217.0,7308045000.0,8283117650.0,-65417.0,-975072650.0
2025-05-05,14.35,14.58,14.12,14.49,5110162,828700.0,81100.0,12839745000.0,1245345000.0,747600.0,11594400000.0
2025-05-06,14.63,15.14,14.58,14.95,12057432,2264400.0,301600.0,36491630000.0,4882590000.0,1962800.0,31609040000.0
2025-05-07,14.95,15.56,14.86,15.37,12214294,1718100.0,1883000.0,28382315000.0,31118615000.0,-164900.0,-2736300000.0
2025-05-08,15.46,15.46,15.09,15.37,6140844,800700.0,686400.0,13163400000.0,11336085000.0,114300.0,1827315000.0
2025-05-09,15.51,15.88,15.28,15.42,8937799,548400.0,1595200.0,9186930000.0,26830105000.0,-1046800.0,-17643175000.0
2025-05-12,15.46,15.56,15.18,15.32,6231759,9900.0,121700.0,165245000.0,2008555000.0,-111800.0,-1843310000.0
2025-05-13,15.56,15.56,15.28,15.28,6935603,1033200.0,536800.0,17174820000.0,8909560000.0,496400.0,8265260000.0
2025-05-14,15.32,15.56,15.0,15.56,9715246,1764800.0,833500.0,29125330000.0,13664030000.0,931300.0,15461300000.0
2025-05-15,15.69,15.93,15.42,15.56,7721623,431100.0,1489800.0,7361545000.0,24987935000.0,-1058700.0,-17626390000.0
2025-05-16,15.56,15.83,15.28,15.28,8636994,135900.0,1653700.0,2292620000.0,27647090000.0,-1517800.0,-25354470000.0
2025-05-19,15.23,15.65,15.09,15.46,6756783,1243900.0,54841.0,20764215000.0,903972650.0,1189059.0,19860242350.0
2025-05-20,15.56,15.56,15.23,15.42,4235770,166194.0,808400.0,2765814800.0,13385105000.0,-642206.0,-10619290200.0
2025-05-21,15.51,15.56,15.05,15.51,8509174,677900.0,1438309.0,11286160000.0,23697555300.0,-760409.0,-12411395300.0
2025-05-22,15.46,15.56,15.14,15.18,7177840,52100.0,1534400.0,869275000.0,25417720000.0,-1482300.0,-24548445000.0
2025-05-23,15.18,15.28,14.77,14.91,8899068,2400.0,1398100.0,38780000.0,22641400000.0,-1395700.0,-22602620000.0
2025-05-26,14.95,15.32,14.49,15.28,8227007,1628900.0,1189044.0,26524535000.0,19244908400.0,439856.0,7279626600.0
2025-05-27,15.46,16.34,15.42,16.3,24982530,1972300.0,1984901.0,33272820000.0,33638366850.0,-12601.0,-365546850.0
2025-05-28,16.39,16.43,15.93,16.02,8384911,326000.0,1136300.0,5668815000.0,19873865000.0,-810300.0,-14205050000.0
2025-05-29,16.2,16.57,15.83,16.25,14606754,462900.0,2479700.0,8077540000.0,43270520000.0,-2016800.0,-35192980000.0
